"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
38.300000,0.00000,,"Airports Range Control",Statewide,Lo-VHF,"BSF Range LoVHF",,,FM,BM,Military
41.500000,0.00000,,"Airports Airfield Operations",Statewide,"Tower Lo-VHF","BSF Tower LoVHF",,,FM,BM,Aircraft
48.380000,0.00000,,"Businesses Utilities",Statewide,"Hawaii Electric Light Co.","HELC 48.38","110.9 PL",,FMN,BM,Utilities
48.480000,0.00000,,"Businesses Utilities",Statewide,"Hawaii Electric Light Co. ""Hilo Base"" and ""System""","HELC 48.48","110.9 PL",,FMN,BM,Utilities
48.540000,0.00000,,"Businesses Utilities",Statewide,"Hawaii Electric Light Co.","HELC 48.54","110.9 PL",,FMN,BM,Utilities
113.600000,0.00000,,"Airports Air Traffic Control",Statewide,"Hickam ADVSY Ramp","Hickam ADVSY",CSQ,,AM,BM,Aircraft
118.100000,0.00000,,"Airports Airfield Operations",Statewide,"Tower VHF","ITO Tower VHF",CSQ,,AM,BM,Aircraft
118.100000,0.00000,,"Airports Air Traffic Control",Statewide,Tower,Tower,CSQ,,AM,BM,Aircraft
118.300000,0.00000,,"Airports Air Traffic Control",Statewide,Departure,Departure,CSQ,,AM,BM,Aircraft
118.300000,0.00000,,"Airports Air Traffic Control",Statewide,Approach,Approach,CSQ,,AM,BM,Aircraft
118.300000,0.00000,,"Airports Air Traffic Control (HCF Center)",Statewide,Approach/Departure,"JRF App/Dep",CSQ,,AM,,Aircraft
118.325000,0.00000,,"Airports Airfield Operations",Statewide,AWOS,"HNM AWOS",CSQ,,AM,,Aircraft
118.375000,0.00000,,"Airports Airfield Operations",Statewide,AWOS,"LNY AWOS",CSQ,,AM,,Aircraft
118.525000,0.00000,,"Airports Airfield Operations",Statewide,AWOS,"JHM AWOS",CSQ,,AM,,Aircraft
118.600000,0.00000,,"Airports Airfield Operations",Statewide,"Clearance Delivery","KOA CD",CSQ,,AM,BM,Aircraft
118.700000,0.00000,,"Airports Airfield Operations",Statewide,Tower,"OGG Tower",CSQ,,AM,,Aircraft
